Part,QTY,Cost,Supplier,Purpose,Notes,,,,,Other Notes
,,,,,,,,,,
From Hackpad Kit,,,,,,,,,,
,,,,,,,,,,
SK6812 MINI-E LEDs,14,,,Neopixels for PCB,,,,,,
MX-Style switches,3,,,Switches for PCB,,,,,,
EC11 Rotary encoders,1,,,Rotary Encoder for PCB,,,,,,
Seeed XIAO RP2040,1,,,MCU for PCB,,,,,,
Keycaps - Painted,3,,,For decoration,,,,,,
,,,,,,,,,,
Sourcing Myself,,,,,,,,,,
,,,,,,,,,,
"M2 Bolts, 1.5cm, Low profile top",8,,Already Have,For bolting the acrylic,,,,,,
"M2 Spacers, 3mm diameter, 0.6cm, circular, non-threaded",8,,Already Have,For spacing the acrylic from the top,,,,,,
3D Printed Case,1,,Going to get my cousin to print,,,,,,,
Acrylic Top Plate,1,,Already Have,Decoration,,,,,,



EVERYTHING IS SOURCABLE MYSELF WITHOUT THE GRANT
